	row number	reason	data
208	241	Invalid site type&Invalid start date&Invalid end date	{'account_no': 241, 'customer_number': 380, 'age_group': '40-44', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '19/3/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': nan}
209	242	Invalid site type&Invalid start date&Invalid end date	{'account_no': 242, 'customer_number': 6192, 'age_group': '55-59', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '31/3/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': nan}
210	243	Invalid site type&Invalid start date	{'account_no': 243, 'customer_number': 9567, 'age_group': '45-49', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '16/7/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': '28/1/21'}
211	244	Invalid site type&Invalid start date	{'account_no': 244, 'customer_number': 3813, 'age_group': '25-29', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '28/5/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': '29/6/21'}
212	245	Invalid site type&Invalid start date	{'account_no': 245, 'customer_number': 2791, 'age_group': '50-54', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '25/2/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': '28/4/21'}
213	246	Invalid site type&Invalid start date	{'account_no': 246, 'customer_number': 8455, 'age_group': '<25', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '2/11/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': '27/1/21'}
214	247	Invalid site type&Invalid start date	{'account_no': 247, 'customer_number': 15947, 'age_group': '30-34', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '2/9/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': '28/1/21'}
215	248	Invalid site type&Invalid start date	{'account_no': 248, 'customer_number': 14318, 'age_group': '50-54', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '26/1/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': '26/1/21'}
216	249	Invalid site type&Invalid start date&Invalid end date	{'account_no': 249, 'customer_number': 15757, 'age_group': '30-34', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '9/6/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': nan}
217	250	Invalid site type&Invalid start date	{'account_no': 250, 'customer_number': 8633, 'age_group': '35-39', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '3/6/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': '28/1/21'}
218	251	Invalid site type&Invalid start date	{'account_no': 251, 'customer_number': 3308, 'age_group': '25-29', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '12/11/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': '18/1/21'}
219	252	Invalid site type&Invalid start date&Invalid end date	{'account_no': 252, 'customer_number': 9146, 'age_group': '>69', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '18/1/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': nan}
220	253	Invalid site type&Invalid start date	{'account_no': 253, 'customer_number': 12754, 'age_group': '55-59', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '26/1/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': '26/1/21'}
221	254	Invalid site type&Invalid start date	{'account_no': 254, 'customer_number': 17909, 'age_group': '35-39', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '11/6/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': '15/6/21'}
222	255	Invalid site type&Invalid start date	{'account_no': 255, 'customer_number': 3330, 'age_group': '45-49', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '23/4/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': '5/5/21'}
223	256	Invalid site type&Invalid start date	{'account_no': 256, 'customer_number': 4806, 'age_group': '30-34', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '3/11/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': '17/11/20'}
224	257	Invalid site type&Invalid start date	{'account_no': 257, 'customer_number': 7270, 'age_group': '>69', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '23/6/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': '28/6/21'}
225	258	Invalid site type&Invalid start date	{'account_no': 258, 'customer_number': 5855, 'age_group': '25-29', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '11/9/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': '28/1/21'}
226	259	Invalid site type&Invalid start date	{'account_no': 259, 'customer_number': 2482, 'age_group': '55-59', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '8/4/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': '28/4/21'}
227	260	Invalid site type&Invalid start date&Invalid end date	{'account_no': 260, 'customer_number': 6939, 'age_group': '30-34', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '16/6/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': nan}
228	261	Invalid site type&Invalid start date&Invalid end date	{'account_no': 261, 'customer_number': 6389, 'age_group': '25-29', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '24/9/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': nan}
229	262	Invalid site type&Invalid start date&Invalid end date	{'account_no': 262, 'customer_number': 8342, 'age_group': '35-39', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '21/10/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': nan}
230	263	Invalid site type&Invalid start date	{'account_no': 263, 'customer_number': 18135, 'age_group': '40-44', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '10/11/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': '11/11/20'}
231	264	Invalid site type&Invalid start date	{'account_no': 264, 'customer_number': 8347, 'age_group': '30-34', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '6/11/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': '10/11/20'}
232	265	Invalid site type&Invalid start date	{'account_no': 265, 'customer_number': 12887, 'age_group': '35-39', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '10/12/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': '14/12/20'}
233	266	Invalid site type&Invalid start date	{'account_no': 266, 'customer_number': 13639, 'age_group': '45-49', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '12/11/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': '28/1/21'}
234	267	Invalid site type&Invalid start date	{'account_no': 267, 'customer_number': 8846, 'age_group': '35-39', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '16/6/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': '28/1/21'}
235	268	Invalid site type&Invalid start date	{'account_no': 268, 'customer_number': 17148, 'age_group': '60-64', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '10/2/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': '10/2/21'}
236	269	Invalid site type&Invalid start date&Invalid end date	{'account_no': 269, 'customer_number': 261, 'age_group': '40-44', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '11/2/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': nan}
237	270	Invalid site type&Invalid start date&Invalid end date	{'account_no': 270, 'customer_number': 14399, 'age_group': '40-44', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '21/4/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': nan}
238	271	Invalid site type&Invalid start date&Invalid end date	{'account_no': 271, 'customer_number': 17764, 'age_group': '35-39', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '26/4/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': nan}
239	272	Invalid site type&Invalid start date	{'account_no': 272, 'customer_number': 5772, 'age_group': '25-29', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '20/8/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': '25/10/21'}
240	273	Invalid site type&Invalid start date	{'account_no': 273, 'customer_number': 13482, 'age_group': '50-54', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '15/8/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': '19/10/21'}
241	274	Invalid site type&Invalid start date	{'account_no': 274, 'customer_number': 1416, 'age_group': '25-29', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '16/8/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': '19/10/21'}
242	275	Invalid site type&Invalid start date&Invalid end date	{'account_no': 275, 'customer_number': 15091, 'age_group': '40-44', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '28/5/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': nan}
243	276	Invalid site type&Invalid start date&Invalid end date	{'account_no': 276, 'customer_number': 14839, 'age_group': '50-54', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '2/6/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': nan}
244	277	Invalid site type&Invalid start date&Invalid end date	{'account_no': 277, 'customer_number': 9355, 'age_group': '40-44', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '12/11/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': nan}
245	278	Invalid site type&Invalid start date	{'account_no': 278, 'customer_number': 17585, 'age_group': '50-54', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '7/9/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': '3/12/20'}
246	279	Invalid site type&Invalid start date	{'account_no': 279, 'customer_number': 16417, 'age_group': '60-64', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Suspended - Duplicate', 'green_power': 0, 'sale_date': '17/12/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': '21/12/20'}
247	280	Invalid site type&Invalid start date&Invalid end date	{'account_no': 280, 'customer_number': 18085, 'age_group': '30-34', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '6/1/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': nan}
248	281	Invalid site type&Invalid start date&Invalid end date	{'account_no': 281, 'customer_number': 12451, 'age_group': '50-54', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '19/1/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': nan}
249	282	Invalid site type&Invalid start date	{'account_no': 282, 'customer_number': 118, 'age_group': '35-39', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '13/1/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': '22/1/21'}
250	283	Invalid site type&Invalid start date	{'account_no': 283, 'customer_number': 7488, 'age_group': '45-49', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '20/8/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': '28/1/21'}
251	284	Invalid site type&Invalid start date	{'account_no': 284, 'customer_number': 7264, 'age_group': '>69', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '10/2/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': '11/2/21'}
252	285	Invalid site type&Invalid start date	{'account_no': 285, 'customer_number': 5391, 'age_group': '55-59', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '18/2/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': '19/2/21'}
253	286	Invalid site type&Invalid start date&Invalid end date	{'account_no': 286, 'customer_number': 5653, 'age_group': '35-39', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '3/3/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': nan}
254	287	Invalid site type&Invalid start date	{'account_no': 287, 'customer_number': 7438, 'age_group': '55-59', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '17/3/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': '4/5/21'}
255	288	Invalid site type&Invalid start date	{'account_no': 288, 'customer_number': 8998, 'age_group': '30-34', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '18/3/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': '18/3/21'}
256	289	Invalid site type&Invalid start date	{'account_no': 289, 'customer_number': 4618, 'age_group': '35-39', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '17/5/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': '26/5/21'}
257	290	Invalid site type&Invalid start date	{'account_no': 290, 'customer_number': 12894, 'age_group': '50-54', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '28/5/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': '1/6/21'}
258	291	Invalid site type&Invalid start date	{'account_no': 291, 'customer_number': 7880, 'age_group': '55-59', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '9/6/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': '26/7/21'}
259	292	Invalid site type&Invalid start date&Invalid end date	{'account_no': 292, 'customer_number': 9030, 'age_group': '50-54', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Transfer In', 'green_power': 0, 'sale_date': '18/8/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': nan}
260	293	Invalid site type&Invalid start date	{'account_no': 293, 'customer_number': 16513, 'age_group': '30-34', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '2/6/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': '23/8/21'}
261	294	Invalid site type&Invalid start date&Invalid end date	{'account_no': 294, 'customer_number': 1907, 'age_group': '30-34', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '15/4/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': nan}
262	295	Invalid site type&Invalid start date	{'account_no': 295, 'customer_number': 17908, 'age_group': '30-34', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '28/9/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': '1/11/20'}
263	296	Invalid site type&Invalid start date	{'account_no': 296, 'customer_number': 11096, 'age_group': '45-49', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '2/9/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': '2/12/20'}
264	297	Invalid site type&Invalid start date	{'account_no': 297, 'customer_number': 7437, 'age_group': '35-39', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '14/9/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': '28/1/21'}
265	298	Invalid site type&Invalid start date	{'account_no': 298, 'customer_number': 13409, 'age_group': '55-59', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '4/5/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': '11/5/21'}
266	299	Invalid site type&Invalid start date	{'account_no': 299, 'customer_number': 2028, 'age_group': '50-54', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '16/3/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': '1/6/21'}
267	300	Invalid site type&Invalid start date	{'account_no': 300, 'customer_number': 9328, 'age_group': '65-69', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '30/3/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': '3/6/21'}
268	301	Invalid site type&Invalid start date	{'account_no': 301, 'customer_number': 10750, 'age_group': '35-39', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '1/6/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': '11/6/21'}
269	302	Invalid site type&Invalid start date	{'account_no': 302, 'customer_number': 13841, 'age_group': '35-39', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '10/8/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': '2/12/20'}
270	303	Invalid site type&Invalid start date	{'account_no': 303, 'customer_number': 9290, 'age_group': '60-64', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '22/10/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': '8/12/20'}
271	304	Invalid site type&Invalid start date	{'account_no': 304, 'customer_number': 12896, 'age_group': '60-64', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '3/12/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': '17/12/20'}
272	305	Invalid site type&Invalid start date&Invalid end date	{'account_no': 305, 'customer_number': 14763, 'age_group': '40-44', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '13/1/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': nan}
273	306	Invalid site type&Invalid start date	{'account_no': 306, 'customer_number': 13453, 'age_group': '45-49', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '26/1/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': '26/1/21'}
274	307	Invalid site type&Invalid start date	{'account_no': 307, 'customer_number': 10698, 'age_group': '30-34', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '26/1/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': '26/1/21'}
275	308	Invalid site type&Invalid start date	{'account_no': 308, 'customer_number': 4072, 'age_group': '35-39', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '26/10/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': '28/1/21'}
276	309	Invalid site type&Invalid start date	{'account_no': 309, 'customer_number': 6111, 'age_group': '25-29', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '5/10/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': '28/1/21'}
277	310	Invalid site type&Invalid start date	{'account_no': 310, 'customer_number': 7335, 'age_group': '40-44', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '28/10/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': '28/1/21'}
278	311	Invalid site type&Invalid start date	{'account_no': 311, 'customer_number': 7516, 'age_group': '30-34', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '29/10/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': '28/1/21'}
279	312	Invalid site type&Invalid start date	{'account_no': 312, 'customer_number': 17220, 'age_group': '50-54', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '15/7/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': '28/1/21'}
280	313	Invalid site type&Invalid start date&Invalid end date	{'account_no': 313, 'customer_number': 4517, 'age_group': '25-29', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '2/2/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': nan}
281	314	Invalid site type&Invalid start date&Invalid end date	{'account_no': 314, 'customer_number': 9518, 'age_group': '30-34', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '8/4/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': nan}
282	315	Invalid site type&Invalid start date&Invalid end date	{'account_no': 315, 'customer_number': 7599, 'age_group': '45-49', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '4/5/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': nan}
283	316	Invalid site type&Invalid start date&Invalid end date	{'account_no': 316, 'customer_number': 7097, 'age_group': '30-34', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '31/3/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': nan}
284	317	Invalid site type&Invalid start date	{'account_no': 317, 'customer_number': 13199, 'age_group': '35-39', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '14/4/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': '25/4/21'}
285	318	Invalid site type&Invalid start date	{'account_no': 318, 'customer_number': 6160, 'age_group': '40-44', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 100, 'sale_date': '30/3/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': '31/5/21'}
286	319	Invalid site type&Invalid start date	{'account_no': 319, 'customer_number': 17274, 'age_group': '35-39', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '5/8/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': '23/8/21'}
287	320	Invalid site type&Invalid start date&Invalid end date	{'account_no': 320, 'customer_number': 7308, 'age_group': '35-39', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '29/7/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': nan}
288	321	Invalid site type&Invalid start date&Invalid end date	{'account_no': 321, 'customer_number': 13042, 'age_group': '35-39', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '16/9/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': nan}
289	322	Invalid site type&Invalid start date	{'account_no': 322, 'customer_number': 4224, 'age_group': '50-54', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '15/10/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': '16/10/20'}
290	323	Invalid site type&Invalid start date	{'account_no': 323, 'customer_number': 18059, 'age_group': '25-29', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '5/11/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': '16/11/20'}
291	324	Invalid site type&Invalid start date	{'account_no': 324, 'customer_number': 17623, 'age_group': '30-34', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '5/8/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': '2/12/20'}
292	325	Invalid site type&Invalid start date	{'account_no': 325, 'customer_number': 5748, 'age_group': '35-39', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '16/9/20', 'cool_off': nan, 'billing_start': nan, 'billing_end': '3/12/20'}
